Reference Designator,Description,Manufacturer,Part No.,Qty,
C10 C11,"Capacitor, Ceramic, 22pF, 100V, X7R, 1206","SAMSUNG ELECTRO-MECHANICS AMERICA, INC",CL31C220JCCNNNC,2,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=1276-2820-1-ND
C7,"Capacitor, Ceramic, 0.01uf, 10%, 50V, X7R","SAMSUNG ELECTRO-MECHANICS AMERICA, INC",CL31B103KBCNNNC,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=1276-1035-1-ND
C1 C3 C5 C6 C8 C9 C12 C13 C14,"Capacitor, Ceramic, 0.1uf, 10%, 50V, X7R",KEMET ELECTRONICS CORPORATION,C1206C104K5RACTU,9,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-1249-1-ND
C2 C4,"Capacitor, Tantalum, 33uf, 10%, 20V",KEMET ELECTRONICS CORPORATION,T491D336K020AT,2,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-3788-1-ND
CH0 CH1 CH2 CH3 CH4 CH5 CH6 CH7 CH8 CH9 CH10 CH11 CH12 CH13 CH14 CH15 CH16 CH17 CH18 CH19 CH20 CH21 CH22 CH23 CH24 CH25 CH26 CH27 CH28 CH29 CH30 CH31 CH32 CH33 CH34 CH35 CH36 CH37 CH38 CH39,"Relay, PhotoMOS, 600V",Panasonic Electric Works,AQW216A,40,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=255-1969-ND
DS1 DS2 DS3 DS4,"LED, Vis, Solid State, Green",KINGBRIGHT COMPANY LLC,APL3015SGC-F01,4,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=754-1111-1-ND
IC1,"IC, MCU 8bit 32KB FLASH 28DIP",ATMEL,ATMEGA328P-PU,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=ATMEGA328P-PU-ND
J1,"Connnection Header, 4 Position, .200, RT ANG",Molex Inc,15-24-4441,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=WM6988-ND
J2,"Connector, PCB, Right Angle, 10 Position",OMRON ELECTRONICS INC,XG4A-1034,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=OR1001-ND
J3 J4,"Connector, PCB, Right Angle, SMA",TE CONNECTIVITY,5-1814400-1,2,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=A97593-ND
J5,"Connector, 0.05"", Right Angle Header, 40 Position",Samtec Inc,TFML-120-01-S-D-RA,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=SAM8266-ND
JP1 JP2 JP3,"Male Headers Pins, 0.1"" spacing, 2x1",Harwin Inc,M20-9990246,3,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name= 952-2121-ND
P1,"Male Headers Pins, 0.1"" spacing, 6x1, R/A",SULLINS CONNECTOR SOLUTIONS,PRPC006SBAN-M71RC,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=S1111EC-06-ND
P2,"Male Headers Pins, 0.1"" spacing, 3x2",HARWIN INC,M20-9980346,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=952-2121-ND
